GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Tailormap API,org.tailormap.api.configuration,JPAConfiguration,16,0,0,0,5,0,3,0,3,0
Tailormap API,org.tailormap.api.configuration,RestConfiguration,30,0,0,0,9,0,3,0,3,0
Tailormap API,org.tailormap.api.configuration,CaseInsensitiveEnumConverter,13,0,0,0,4,0,2,0,2,0
Tailormap API,org.tailormap.api.configuration,MonitoringConfiguration,8,0,0,0,2,0,2,0,2,0
Tailormap API,org.tailormap.api.configuration,TailormapPasswordStrengthConfig,25,0,0,0,13,0,8,0,8,0
Tailormap API,org.tailormap.api.configuration,GeoToolsEPSGAliasesConfiguration,124,0,4,0,17,0,5,0,3,0
Tailormap API,org.tailormap.api.configuration,TailormapConfig,11,0,0,0,4,0,3,0,3,0
Tailormap API,org.tailormap.api.configuration,SchedulerConfiguration,39,0,2,0,13,0,4,0,3,0
Tailormap API,org.tailormap.api.configuration,TailormapDatabaseMigration,59,0,6,0,17,0,7,0,4,0
Tailormap API,org.tailormap.api.geotools.processing,GeometryProcessor,209,0,28,0,56,0,22,0,8,0
Tailormap API,org.tailormap.api.security,AuthenticationEventsLogger,161,0,12,0,33,0,12,0,6,0
Tailormap API,org.tailormap.api.security,AuthorizationService,200,0,36,0,51,0,25,0,7,0
Tailormap API,org.tailormap.api.security,TailormapUserDetailsService,39,0,2,0,10,0,4,0,3,0
Tailormap API,org.tailormap.api.security,OIDCAuthenticationEventsHandler,129,0,10,0,27,0,12,0,7,0
Tailormap API,org.tailormap.api.security,TailormapUserDetails,69,0,4,0,18,0,8,0,6,0
Tailormap API,org.tailormap.api.security,OIDCRepository,293,0,14,0,83,0,13,0,6,0
Tailormap API,org.tailormap.api.security,OIDCRepository.OIDCRegistrationMetadata,6,0,0,0,2,0,2,0,2,0
Tailormap API,org.tailormap.api.security,ActuatorSecurityConfiguration,164,0,8,0,37,0,10,0,6,0
